"route","file","line","label","type","auth_role","expected","actual","target","api_method","api_path","status","notes"
"/about","app\about\page.tsx","90","Unknown","Button","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/about","app\about\page.tsx","95","Unknown","Link","Authenticated","navigate","navigate","/auth/signup?role=advertiser","","","✅",""
"/about","app\about\page.tsx","100","Unknown","Button","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/about","app\about\page.tsx","106","Unknown","Link","Authenticated","navigate","navigate","/auth/signup?role=publisher","","","✅",""
"/ad-formats","app\ad-formats\page.tsx","100","Unknown","Link","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/ad-formats","app\ad-formats\page.tsx","107","Unknown","Link","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/ad-formats","app\ad-formats\page.tsx","114","Unknown","Button","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/ad-formats","app\ad-formats\page.tsx","115","Unknown","Link","Authenticated","navigate","navigate","/auth/signin","","","✅",""
"/ad-formats","app\ad-formats\page.tsx","135","Unknown","Button","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/ad-formats","app\ad-formats\page.tsx","136","Unknown","Link","Authenticated","navigate","navigate","/auth/signup?role=advertiser","","","✅",""
"/ad-formats","app\ad-formats\page.tsx","141","Unknown","Button","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/ad-formats","app\ad-formats\page.tsx","142","Unknown","Link","Authenticated","navigate","navigate","/contact","","","✅",""
"/ad-formats","app\ad-formats\page.tsx","289","Unknown","Button","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/ad-formats","app\ad-formats\page.tsx","290","Unknown","Link","Authenticated","navigate","navigate","/auth/signup?role=advertiser","","","✅",""
"/ad-formats","app\ad-formats\page.tsx","294","Unknown","Button","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/ad-formats","app\ad-formats\page.tsx","295","Unknown","Link","Authenticated","navigate","navigate","/contact","","","✅",""
"/ad-formats","app\ad-formats\page.tsx","317","For Advertisers","Link","Authenticated","navigate","navigate","/advertisers","","","✅",""
"/ad-formats","app\ad-formats\page.tsx","318","For Publishers","Link","Authenticated","navigate","navigate","/publishers","","","✅",""
"/ad-formats","app\ad-formats\page.tsx","319","Ad Formats","Link","Authenticated","navigate","navigate","/ad-formats","","","✅",""
"/ad-formats","app\ad-formats\page.tsx","325","About","Link","Authenticated","navigate","navigate","/about","","","✅",""
"/ad-formats","app\ad-formats\page.tsx","326","Contact","Link","Authenticated","navigate","navigate","/contact","","","✅",""
"/ad-formats","app\ad-formats\page.tsx","327","Privacy","Link","Authenticated","navigate","navigate","/legal/privacy","","","✅",""
"/ad-formats","app\ad-formats\page.tsx","333","Advertiser Terms","Link","Authenticated","navigate","navigate","/legal/advertiser-terms","","","✅",""
"/ad-formats","app\ad-formats\page.tsx","334","Publisher Terms","Link","Authenticated","navigate","navigate","/legal/publisher-terms","","","✅",""
"/ad-formats","app\ad-formats\page.tsx","335","Cookie Policy","Link","Authenticated","navigate","navigate","/legal/cookies","","","✅",""
"/advertisers","app\advertisers\page.tsx","127","Unknown","Link","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/advertisers","app\advertisers\page.tsx","133","Unknown","Link","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/advertisers","app\advertisers\page.tsx","139","Unknown","Link","Authenticated","navigate","navigate","/auth/signin","","","✅",""
"/advertisers","app\advertisers\page.tsx","140","Unknown","Button","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/advertisers","app\advertisers\page.tsx","159","Unknown","Link","Authenticated","navigate","navigate","/auth/signin","","","✅",""
"/advertisers","app\advertisers\page.tsx","160","Unknown","Button","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/advertisers","app\advertisers\page.tsx","165","Unknown","Link","Authenticated","navigate","navigate","/contact","","","✅",""
"/advertisers","app\advertisers\page.tsx","166","Unknown","Button","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/advertisers","app\advertisers\page.tsx","328","Unknown","Button","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/advertisers","app\advertisers\page.tsx","400","Unknown","Link","Authenticated","navigate","navigate","/auth/signin","","","✅",""
"/advertisers","app\advertisers\page.tsx","401","Unknown","Button","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/advertisers","app\advertisers\page.tsx","405","Unknown","Button","Authenticated","unknown","no handler","","","","⚠️","No onClick or href"
"/advertisers","app\advertisers\page.tsx","412","Unknown","Link","Authenticated","navigate","navigate","/contact?subject=Schedule%20Demo","","","✅",""
"/advertisers","app\advertisers\page.tsx","433","For Advertisers","Link","Authenticated","navigate","navigate","/advertisers","","","✅",""
"/advertisers","app\advertisers\page.tsx","434","For Publishers","Link","Authenticated","navigate","navigate","/publishers","","","✅",""
"/advertisers","app\advertisers\page.tsx","435","Ad Formats","Link","Authenticated","navigate","navigate","/ad-formats","","","✅",""
"/advertisers","app\advertisers\page.tsx","441","About","Link","Authenticated","navigate","navigate","/about","","","✅",""
"/advertisers","app\advertisers\page.tsx","442","Contact","Link","Authenticated","navigate","navigate","/contact","","","✅",""
"/advertisers","app\advertisers\page.tsx","443","Privacy","Link","Authenticated","navigate","navigate","/legal/privacy","","","✅",""
"/advertisers","app\advertisers\page.tsx","449","Advertiser Terms","Link","Authenticated","navigate","navigate","/legal/advertiser-terms","","","✅",""
"/advertisers","app\advertisers\page.tsx","450","Publisher Terms","Link","Authenticated","navigate","navigate","/legal/publisher-terms","","","✅",""
"/advertisers","app\advertisers\page.tsx","451","Cookie Policy","Link","Authenticated","navigate","navigate","/legal/cookies","","","✅",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","265","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","267","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","288","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","290","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","296","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","298","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","363","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","366","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","375","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","378","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","487","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","490","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","495","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","499","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","504","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","508","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","545","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","549","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","553","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","558","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","562","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","580","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","584","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","588","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","593","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","597","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","628","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","632","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","636","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","641","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","645","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","663","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","667","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","671","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","676","Unknown","Button","Authenticated","unknown","unknown","","","","🔒",""
"/app/admin/approvals","app\app\admin\approvals\page.tsx","680","Unknown","Unknown","Authenticated","unknown","unknown","","","","🔒",""
